Date,CPI_UK,CPI_JP,Nominal_Rate,log_nominal,log_cpi_uk,log_cpi_jp,real_rate,log_real,price_diff
2013-09-01,98.7,97.12395,157.40543333333332,5.058824854659021,4.592084946439436,4.575987997818563,154.89196997765956,5.042727906038149,0.01609694862087263
2013-10-01,98.8,97.22575,157.35139999999998,5.058481520833402,4.593097604753822,4.57703559407737,154.84420929706476,5.04241951015695,0.01606201067645241
2013-11-01,98.8,97.22575,161.30611428571427,5.0833038907097885,4.593097604753822,4.57703559407737,158.7359103341527,5.067241880033336,0.01606201067645241
2013-12-01,99.2,97.32757,169.318335,5.131780582152921,4.597138014290827,4.578082299518286,166.12240022173336,5.11272486738038,0.01905571477254142
2014-01-01,98.7,97.22575,170.9228590909091,5.1412123382916,4.592084946439436,4.57703559407737,168.36983958721333,5.126162985929534,0.01504935236206606
2014-02-01,99.1,97.22575,169.10188499999998,5.130501403092552,4.596129441335942,4.57703559407737,165.90370933944249,5.11140755583398,0.01909384725857244
2014-03-01,99.3,97.42937,170.11860000000001,5.136495840866501,4.598145571051127,4.579127705235496,166.9138773744411,5.11747797505087,0.019017865815630586
2014-04-01,99.6,99.46552,171.57718,5.145033194527764,4.601162164590552,4.599811051444912,171.34551635375104,5.143682081382124,0.0013511131456400705
2014-05-01,99.6,99.87274,171.37651499999998,5.143862978105986,4.601162164590552,4.603896775545058,171.84580446487044,5.146597589060492,-0.0027346109545058894
2014-06-01,99.8,99.77094,172.53764285714286,5.150615432126709,4.603168183317418,4.602876958550873,172.48740293829087,5.150324207360163,0.0002912247665456391
2014-07-01,99.6,99.87274,173.69715217391305,5.15731327802868,4.601162164590552,4.603896775545058,174.17279636351057,5.160047888983186,-0.0027346109545058894
2014-08-01,99.9,100.0764,171.917255,5.147013285478074,4.604169685654508,4.605933894288654,172.22082060342342,5.14877749411222,-0.0017642086341460583
2014-09-01,100.0,100.28,174.89835454545457,5.164204974006914,4.605170185988092,4.607966273290093,175.38806993818184,5.167001061308915,-0.0027960873020012045
2014-10-01,100.1,99.97455,173.59256086956523,5.15671094917423,4.6061696863211745,4.6049156535974705,173.37500655626766,5.155456916450526,0.0012540327237040572
2014-11-01,99.9,99.66913,183.543505,5.212451723863208,4.604169685654508,4.601856000136212,183.11933393894543,5.210138038344913,0.00231368551829636
2014-12-01,99.9,99.66913,186.66841428571428,5.229333857262158,4.604169685654508,4.601856000136212,186.23702152489201,5.227020171743861,0.00231368551829636
2015-01-01,99.2,99.56732,179.09957142857144,5.187941916146837,4.597138014290827,4.600833998300086,179.76274536584103,5.191637900156096,-0.003695984009258524
2015-02-01,99.5,99.36371,182.083965,5.204467926843225,4.600157644164547,4.598786956457491,181.83455571768997,5.203097239136168,0.001370687707056284
2015-03-01,99.6,99.66913,180.08629545454545,5.193436155197466,4.601162164590552,4.601856000136212,180.21128908511545,5.194129990743125,-0.0006938355456593825
2015-04-01,99.9,100.1782,178.94683,5.187088722609756,4.604169685654508,4.606950600109835,179.44515840946946,5.189869637065084,-0.0027809144553270215
2015-05-01,100.1,100.4836,186.8976157894737,5.230560957769523,4.6061696863211745,4.609994530103558,187.61383882061097,5.234385801551906,-0.003824843782383347
2015-06-01,100.1,100.1782,192.6963227272727,5.261115492349152,4.6061696863211745,4.606950600109835,192.84686071365905,5.261896406137812,-0.00078091378866052
2015-07-01,100.0,100.0764,191.87351739130435,5.256836391360752,4.605170185988092,4.605933894288654,192.0201087585913,5.257600099661315,-0.0007637083005622713
2015-08-01,100.3,100.1782,191.87498,5.256844014106928,4.60816569496789,4.606950600109835,191.64197528849454,5.255628919248874,0.0012150948580549326
2015-09-01,100.2,100.28,184.15345,5.215769377442706,4.607168188650764,4.607966273290093,184.3004787025948,5.216567462082034,-0.0007980846393289553
2015-10-01,100.3,100.28,184.12000454545455,5.2155877436364975,4.60816569496789,4.607966273290093,184.08329068612346,5.2153883219587,0.00019942167779696263
2015-11-01,100.3,99.87274,186.32464761904762,5.227490569549265,4.60816569496789,4.603896775545058,185.5309380583127,5.223221650126434,0.004268919422831807
2015-12-01,100.4,99.87274,182.41261904761905,5.206271258622276,4.609162207257629,4.603896775545058,181.45466210021817,5.2010058269097055,0.0052654317125711
2016-01-01,99.9,99.46552,169.98064,5.135684548212233,4.604169685654508,4.599811051444912,169.24136884417214,5.1313259140026375,0.004358634209595813
2016-02-01,100.1,99.56732,163.91001428571428,5.0993175838571085,4.6061696863211745,4.600833998300086,163.03777066523762,5.093981895836019,0.005335688021088636
2016-03-01,100.4,99.66913,160.84861904761905,5.080463668305433,4.609162207257629,4.601856000136212,159.6777083882233,5.0731574611840164,0.007306207121417607
2016-04-01,100.6,99.87274,156.83365238095237,5.05518570466526,4.611152257665639,4.603896775545058,155.69986667488308,5.04793022254468,0.007255482120580581
2016-05-01,100.8,99.97455,158.167605,5.063655261924866,4.613138355637268,4.6049156535974705,156.8723723656027,5.055432559885068,0.008222702039797802
2016-06-01,101.0,99.87274,149.69372727272727,5.0085913885618805,4.61512051684126,4.603896775545058,148.02299706475247,4.997367647265679,0.011223741296201517
2016-07-01,100.9,99.66913,136.8539142857143,4.918914037823083,4.6141299273595635,4.601856000136212,135.18444572796545,4.906640110599732,0.012273927223351855
2016-08-01,101.2,99.66913,132.54641818181818,4.886932909977001,4.617098756853365,4.601856000136212,130.54136546243083,4.8716901532598476,0.015242756717153583
2016-09-01,101.5,99.77094,133.86269545454545,4.89681461384019,4.620058798481842,4.602876958550873,131.58233454614506,4.87963277390922,0.01718183993096911
2016-10-01,101.6,100.3818,128.09332857142857,4.852759127698153,4.6210435351443815,4.60898091592495,126.55746938967941,4.840696508478722,0.012062619219431525
2016-11-01,101.8,100.3818,134.97766363636364,4.905109310203862,4.623010104116422,4.60898091592495,133.0972577172174,4.891080122012389,0.01402918819147203
2016-12-01,102.2,100.1782,144.895315,4.976011516160724,4.626931677769604,4.606950600109835,142.02888302478476,4.956030438500955,0.019981077659768864
2017-01-01,101.8,99.97455,141.8227761904762,4.954578223135362,4.623010104116422,4.6049156535974705,139.27964861879735,4.936483772616411,0.018094450518951533
2017-02-01,102.4,99.87274,141.09798,4.949454542668411,4.628886712605407,4.603896775545058,137.61564327212108,4.924464605608062,0.02498993706034902
2017-03-01,102.7,99.87274,139.40078695652173,4.937353143622697,4.631812116934513,4.603896775545058,135.56317966410987,4.909437802233242,0.027915341389454618
2017-04-01,103.2,100.28,139.5137388888889,4.93816308307063,4.636668853047462,4.607966273290093,135.56625712962963,4.90946050331326,0.02870257975736923
2017-05-01,103.5,100.3818,145.16029523809524,4.977838616223314,4.639571612705423,4.60898091592495,140.78697318387853,4.94724791944284,0.030590696780473436
2017-06-01,103.5,100.28,142.09133636363637,4.956470064656333,4.639571612705423,4.607966273290093,137.67071701010101,4.924864725241002,0.03160533941533039
2017-07-01,103.5,100.0764,146.11953809523808,4.984425040789031,4.639571612705423,4.605933894288654,141.28615789598342,4.950787322372261,0.033637718416769324
2017-08-01,104.0,100.28,142.2665818181818,4.957702634354778,4.6443908991413725,4.607966273290093,137.1778156223776,4.921278008503498,0.03642462585127948
2017-09-01,104.3,100.5854,147.59315238095238,4.994459518007202,4.647271362006727,4.611007117908722,142.33668523009635,4.958195273909197,0.036264244098004994
2017-10-01,104.4,100.5854,148.9963909090909,5.003922083565461,4.648229675448539,4.611007117908722,143.5523139669279,4.966699526025645,0.03722255753981685
2017-11-01,104.7,100.8908,149.10064545454546,5.004621550765652,4.651099117876491,4.61403874381694,143.6760592208735,4.9675611767061,0.03706037405955076
2017-12-01,105.0,101.1962,151.39183684210525,5.019871421730082,4.653960350157523,4.617061206741254,145.9074152327719,4.982972278313813,0.0368991434162691
2018-01-01,104.5,101.298,153.26127727272726,5.032144159532894,4.6491870714048655,4.618066667723111,148.56517574327967,5.00102375585114,0.031120403681754283
2018-02-01,104.9,101.298,150.60836,5.01468282511328,4.653007515402251,4.618066667723111,145.4368508224976,4.97974197743414,0.034940847679139964
2018-03-01,105.1,100.9926,148.14696190476192,4.998204766922784,4.6549122778829055,4.615047246830345,142.35724895207287,4.958339735870224,0.03986503105256034
2018-04-01,105.5,100.8908,151.73486,5.022134655604819,4.658710952916121,4.61403874381694,145.10570059988626,4.977462446505637,0.044672209099180904
2018-05-01,105.9,101.0944,147.69331904761904,4.995137955255099,4.662495252607361,4.616054733790029,140.9911942693826,4.948697436437767,0.0464405188173318
2018-06-01,105.9,100.9926,146.24653333333333,4.985293782127325,4.662495252607361,4.615047246830345,139.46947726458922,4.937845776350309,0.04744800577701547
2018-07-01,105.9,100.9926,146.77999545454546,4.98893483614911,4.662495252607361,4.615047246830345,139.97821878132885,4.941486830372095,0.04744800577701547
2018-08-01,106.5,101.6035,142.97926363636364,4.962699610209089,4.66814498514948,4.621077983369932,136.40557382983354,4.915632608429542,0.047067001779548256
2018-09-01,106.6,101.7053,146.340995,4.985939480667428,4.669083511731744,4.622079415757588,139.62152719299718,4.938935384693272,0.047004095974156
2018-10-01,106.7,102.0107,146.7056086956522,4.988427916835629,4.670021158307708,4.62507770974323,140.25812405782162,4.943484468271151,0.04494344856447796
2018-11-01,106.9,101.8071,146.20255454545455,4.984993020114153,4.671893818030999,4.62307984628163,139.23721319798452,4.936179048364784,0.04881397174936897
2018-12-01,107.1,101.5017,142.24141578947368,4.957525725241605,4.673762977453703,4.620075547110056,134.8062139406015,4.903838294897957,0.05368743034364698
2019-01-01,106.4,101.5017,140.5327909090909,4.945440848796548,4.667205576907544,4.620075547110056,134.06313141933524,4.89831081899906,0.04713002979748815
2019-02-01,106.8,101.5017,143.76273,4.968164232278301,4.6709579265260945,4.620075547110056,136.63072557716293,4.9172818528622635,0.05088237941603868
2019-03-01,107.0,101.5017,146.3395142857143,4.985929362369566,4.672828834461906,4.620075547110056,138.81971473994662,4.933176075017716,0.05275328735184992
2019-04-01,107.6,101.8071,145.47553499999998,4.980007928143808,4.678420647727684,4.62307984628163,137.6435161644842,4.924667126697754,0.05534080144605369
2019-05-01,107.9,101.8071,141.2052761904762,4.950214691149096,4.681204872264089,4.62307984628163,133.23169299028203,4.892089665166638,0.05812502598245839
2019-06-01,107.9,101.6035,137.04058,4.920277086347831,4.681204872264089,4.621077983369932,129.0435826694161,4.860150197453674,0.06012688889415685
2019-07-01,108.0,101.6035,134.9876347826087,4.905183180040526,4.68213122712422,4.621077983369932,126.99274213550724,4.8441299362862384,0.06105324375428811
2019-08-01,108.3,101.8071,129.15141428571428,4.860985470203643,4.684905154006945,4.62307984628163,121.40841135112782,4.799160162478328,0.06182530772531436
2019-09-01,108.4,101.9089,132.7954619047619,4.888810064054542,4.685828089005546,4.624079276944649,124.84353734046302,4.827061251993645,0.06174881206089733
2019-10-01,108.3,102.2143,136.79991739130435,4.918519401323533,4.684905154006945,4.627071589703586,129.11272203333334,4.860685837020175,0.05783356430335829
2019-11-01,108.5,102.3161,140.30316666666667,4.9438055575355735,4.686750172980514,4.628067040828762,132.30666203671277,4.8851224253838215,0.05868313215175203
2019-12-01,108.5,102.3161,143.00617,4.962887776182256,4.686750172980514,4.628067040828762,134.85560912752996,4.904204644030504,0.05868313215175203
2020-01-01,108.3,102.3161,142.84350454545455,4.961749657187629,4.684905154006945,4.628067040828762,134.95097225690844,4.904911544009446,0.056838113178182326
2020-02-01,108.6,102.1125,142.569815,4.959831809556835,4.687671407499835,4.626075146667987,134.0530408304558,4.898235548724988,0.06159626083184744
2020-03-01,108.6,102.1125,133.06565454545455,4.890842649618939,4.687671407499835,4.626075146667987,125.11663581742843,4.829246388787092,0.06159626083184744
2020-04-01,108.6,102.0107,133.69083,4.895529895368309,4.687671407499835,4.62507770974323,125.57914504494477,4.832936197611704,0.06259369775660506
2020-05-01,108.6,101.9089,131.9339684210526,4.882301558190533,4.687671407499835,4.624079276944649,123.8052080517883,4.818709427635346,0.06359213055518609
2020-06-01,108.8,101.7053,134.78695,4.903695383702787,4.689511334421843,4.622079415757588,125.9976763403952,4.836263465038532,0.06743191866425491
2020-07-01,109.2,101.8071,135.44442608695653,4.9085614166098575,4.693181063310805,4.62307984628163,126.27476402085524,4.838460199580683,0.07010121702917438
2020-08-01,108.8,101.9089,139.18990000000002,4.935839187796635,4.689511334421843,4.624079276944649,130.3739852951287,4.870407130319441,0.06543205747719405
2020-09-01,109.2,101.7053,136.8360181818182,4.918783261336274,4.693181063310805,4.622079415757588,127.44458131856477,4.847681613783057,0.0711016475532169
2020-10-01,109.2,101.6035,136.6100909090909,4.917130816363569,4.693181063310805,4.621077983369932,127.10680743298367,4.845027736422696,0.07210307994087284
2020-11-01,109.1,101.298,137.92285238095238,4.926694488117944,4.692264892839025,4.618066667723111,128.05966178263716,4.85249626300203,0.07419822511591345
2020-12-01,109.4,101.0944,139.42254285714284,4.937509198718084,4.695010889987881,4.616054733790029,128.83764457602504,4.858553042520232,0.07895615619785179
